Cites,Authors,Year
199,"RV Stan|M Kubitza|GE Palade",1999
186,"SL Madden|BP Cook|M Nacht|WD Weber|MR Callahan|Y Jiang",2004
179,RV Stan,2002
160,"PM Bauer|J Yu|Y Chen|R Hickey|PN Bernatchez|R Looft-Wilson",2005
157,"E Tkachenko|E Lutgens|RV Stan|M Simons",2004
139,"T Murata|MI Lin|RV Stan|PM Bauer|J Yu|WC Sessa",2007
139,"SA Predescu|DN Predescu|BK Timblin|RV Stan|AB Malik",2003
125,"E Huarte|JR Cubillos-Ruiz|YC Nesbeth|UK Scarlett|DG Martinez",2008
123,"K Chen|H Nishi|R Travers|N Tsuboi|K Martinod|DD Wagner|R Stan",2012
106,"RV Stan|L Ghitescu|BS Jacobson|GE Palade",1999
100,RV Stan,2007
100,"Q Yao|J Chen|H Cao|JD Orth|JM McCaffery|RV Stan|MA McNiven",2005
88,"RV Stan|E Tkachenko|IR Niesman",2004
87,"RV Stan|D Tse|SJ Deharvengt|NC Smits|Y Xu|MR Luciano",2012
80,"B Gerdy|EMA van de Westerlo|A Purushothaman|RV Stan|J Bulten",2007
77,"D Tse|RV Stan",2010
72,"K Ichimura|RV Stan|H Kurihara|T Sakai",2008
60,"AM Busch|KC Johnson|RV Stan|A Sanglikar|Y Ahmed|E Dmitrovsky",2013
58,"EA Simone|BJ Zern|AM Chacko|JL Mikitsh|ER Blankemeyer|S Muro",2012
52,"RV Stan|KC Arden|GE Palade",2001
49,RV Stan,2004
42,"D Tam|H Sun|KS Pang",2003
40,"X Li|N Padhan|EO Sjöström|FP Roche|C Testini|N Honkura",2016
40,"D Engel|L Beckers|E Wijnands|T Seijkens|D Lievens|M Drechsler",2011
30,"R Chakrabarti|WK Ji|RV Stan|J de Juan Sanz|TA Ryan|HN Higgs",2018
30,RV Stan,2006
26,"A Wasiuk|DK Dalton|WL Schpero|RV Stan|JR Conejo-Garcia",2012
26,"E Tkachenko|D Tse|O Sideleva|SJ Deharvengt|MR Luciano|Y Xu",2012
20,"KM Tichauer|SJ Deharvengt|KS Samkoe|JR Gunn|MW Bosenberg",2014
18,"F Bosetti|ZS Galis|MS Bynoe|M Charette|MJ Cipolla|GJ Del Zoppo",2016
18,"A Elkadri|C Thoeni|SJ Deharvengt|R Murchie|C Guo|JD Stavropoulos",2015
18,"S Mayor|A Viola|RV Stan|MA del Pozo",2006
16,"S Petrescu|SA Hulea|R Stan|D Avram|V Herlea",1992
13,"JR Kraehling|Z Hao|MY Lee|DJ Vinyard|H Velazquez|X Liu|RV Stan",2016
10,"SJ Deharvengt|D Tse|O Sideleva|C McGarry|JR Gunn|DS Longnecker",2012
8,"O Bucur|A Almasan|R Zubarev|M Friedman|GL Nicolson|P Sumazin",2015
7,RV Stan,2009
6,"VV Shuvaev|RY Kiseleva|E Arguiri|CH Villa|S Muro",2018
6,"PJ Hoopes|AA Petryk|JA Tate|MS Savellano|RR Strawbridge",2013
6,RV Stan,2006
5,"JW Myerson|B Braender|O Mcpherson|PM Glassman|RY Kiseleva",2018
4,"Y Kenig-Kozlovsky|RP Scott|T Onay|IA Carota|BR Thomson|HJ Gil",2018
4,"R Elgueta|D Tse|SJ Deharvengt|MR Luciano|C Carriere|RJ Noelle",2016
4,"D Avram|I Petcu|M Radu|F Dan|R Stan",1992
3,"D Avram|R Stan|T Vassu|A Vamanu|F Dan",1992
2,"S Krispin|AN Stratman|CH Melick|RV Stan|M Malinverno|J Gleklen",2018
2,"NC Smits|T Kobayashi|PK Srivastava|S Skopelja|JA Ivy|DJ Elwood",2017
2,"KM Scully|D Skowronska-Krawczyk|M Krawczyk|D Merkurjev|H Taylor",2016
2,"E Vasile|AM Dvorak|RV Stan|HF Dvorak",2000
1,"GV Reynoso|AS Weisberg|JP Shannon|DT McManus|L Shores",2019
1,"BJN Hamilton|D Tse|RV Stan",2019
1,"VV Shuvaev|M Khoshnejad|KW Pulsipher|RY Kiseleva|E Arguiri",2018
1,"D Tse|DA Armstrong|A Oppenheim|D Kuksin|L Norkin|RV Stan",2011
1,"RV Stan|L Ghitescu|BS Jacobson|GE Palade",1998
1,"D Avram|R Stan",1992
1,RV Stan,
249,"LR Zacharski|BK Chow|PS Howes|G Shamayeva|JA Baron|RL Dalman",2008
230,"PM Farrehi|CK Ozaki|P Carmeliet|WP Fay",1998
209,"JE Rectenwald|LL Moldawer|TS Huber|JM Seeger|CK Ozaki",2000
207,"TS Huber|JG Wang|AE Derrow|DA Dame|CK Ozaki|GB Zelenock",2001
202,"JM Seeger|HA Pretus|MB Welborn|CK Ozaki|TC Flynn|TS Huber",2000
194,"C Hine|E Harputlugil|Y Zhang|C Ruckenstuhl|BC Lee|L Brace",2015
191,"IE Hoefer|N Van Royen|JE Rectenwald|E Deindl|J Hua|M Jost",2004
181,"LR Zacharski|BK Chow|PS Howes|G Shamayeva|JA Baron|RL Dalman",2007
174,"IE Hoefer|N van Royen|JE Rectenwald|EJ Bray|Z Abouhamze",2002
167,"TP Sarac|TS Huber|MR Back|CK Ozaki|LM Carlton|TC Flynn",1998
166,"TS Huber|CK Ozaki|TC Flynn|WA Lee|SA Berceli|CM Hirneise",2002
158,"AE Derrow|JM Seeger|DA Dame|RL Carter|CK Ozaki|TC Flynn",2001
102,"JE Rectenwald|TS Huber|TD Martin|CK Ozaki|M Devidas|MB Welborn",2002
95,"Z Jiang|L Wu|BL Miller|DR Goldman|CM Fernandez|ZS Abouhamze",2004
91,"J Clària|BT Nguyen|AL Madenci|CK Ozaki|CN Serhan",2013
89,"JM Seeger|HA Pretus|LC Carlton|TC Flynn|CK Ozaki|TS Huber",1999
84,"JG Jimenez|TS Huber|CK Ozaki|TC Flynn|SA Berceli|WA Lee",2002
77,"WA Lee|SA Berceli|TS Huber|CK Ozaki|TC Flynn|JM Seeger",2003
76,"TS Huber|JG Wang|KG Wheeler|JK Cuddeback|DA Dame|CK Ozaki",1999
72,"JT Powell|MJ Sweeting|P Ulug|JD Blankensteijn|FA Lederle",2017
62,"JT McPhee|NR Barshes|KJ Ho|A Madenci|CK Ozaki|LL Nguyen",2013
61,"JT McPhee|LL Nguyen|KJ Ho|CK Ozaki|MS Conte|M Belkin",2013
58,"S Grundmann|I Hoefer|S Ulusans|N van Royen|SH Schirmer|CK Ozaki",2005
54,"Z Jiang|M Tao|KA Omalley|D Wang|CK Ozaki|SA Berceli",2009
52,"TS Huber|CK Ozaki|TC Flynn|EA Ross|JM Seeger",2000
46,"R Tran-Son-Tay|M Hwang|M Garbey|Z Jiang|CK Ozaki|SA Berceli",2008
46,"CM Fernandez|DR Goldman|Z Jiang|CK Ozaki|R Tran-Son-Tay",2004
45,"VR Taqueti|MF Di Carli|M Jerosch-Herold|GK Sukhova|VL Murthy",2014
45,"Z Jiang|SA Berceli|CL Pfahnl|L Wu|D Goldman|M Tao|M Kagayama",2004
44,"CJ Shanley|CK Ozaki|GB Zelenock",1997
42,"Z Jiang|P Yu|M Tao|C Fernandez|C Ifantides|O Moloye|GS Schultz",2007
40,"SA Berceli|Z Jiang|NV Klingman|GS Schultz|CK Ozaki",2006
39,"J Neu|CK Ozaki|KJ Angelides",1986
38,"SA Berceli|Z Jiang|NV Klingman|CL Pfahnl|ZS Abouhamze|CD Frase",2004
34,"SA Berceli|JE Brown|PB Irwin|CK Ozaki",2006
34,"CK Ozaki|WC Shu-heh|WA Walker",1989
33,"AL Madenci|CK Ozaki|M Belkin|JT McPhee",2013
30,"J Koga|T Nakano|JE Dahlman|JL Figueiredo|H Zhang|J Decano",2015
30,"LT Robertson|JH Trevino-Villarreal|P Mejia|Y Grondin|E Harputlugil",2015
30,"BB Childress|SA Berceli|PR Nelson|WA Lee|CK Ozaki",2007
29,"HKM Vollan|OM Rueda|SF Chin|C Curtis|G Turashvili|S Shah",2015
29,"JT Favreau|BT Nguyen|I Gao|P Yu|M Tao|J Schneiderman",2012
28,"M Tao|P Yu|BT Nguyen|B Mizrahi|N Savion|FD Kolodgie|R Virmani",2013
28,"CK Ozaki|MD Phaneuf|SL Hong|WC Quist|FW LoGerfo",1993
27,"JT McPhee|NR Barshes|CK Ozaki|LL Nguyen|M Belkin",2012
27,CK Ozaki,2007
25,"A Longchamp|T Mirabella|A Arduini|MR MacArthur|A Das",2018
24,"HHG Song|RT Rumma|CK Ozaki|ER Edelman|CS Chen",2018
23,"JR Mitchell|JA Beckman|LL Nguyen|CK Ozaki",2013
23,"MD Phaneuf|CK Ozaki|MJ Bide|WC Quist|JM Alessi|GA Tannenbaum",1993
22,"T Mirabella|JW MacArthur|D Cheng|CK Ozaki|YJ Woo|MT Yang",2017
22,"CM Perrault|EJ Bray|N Didier|CK Ozaki|R Tran-Son-Tay",2004
22,"CK Ozaki|M Hansen|S Kadir",1989
21,"LW Kraiss|MS Conte|RL Geary|M Kibbe|CK Ozaki",2013
20,"NR Barshes|MT Menard|LL Nguyen|R Bafford|CK Ozaki|M Belkin",2011
20,"MD Phaneuf|CK Ozaki|MT Johnstone|JP Loza|WC Quist|FW LoGerfo",1994
19,"CR Mauro|M Tao|P Yu|JH Treviño-Villerreal|A Longchamp|BS Kristal",2016
19,"CK Ozaki|AD Hamdan|NR Barshes|M Wyers|ND Hevelone|M Belkin",2015
18,"CR Mauro|G Ilonzo|BT Nguyen|P Yu|M Tao|I Gao|MA Seidman",2013
18,"P Yu|BT Nguyen|M Tao|C Campagna|CK Ozaki",2010
17,"NR Barshes|CK Ozaki|P Kougias|M Belkin",2013
17,"TS Huber|LM Carlton|DG O’Hern|NS Hardt|CK Ozaki|TC Flynn",2000
16,"AD Hamdan|LP Aiello|WC Quist|CK Ozaki|MA Contreras|MD Phaneuf",1995
15,"KJ Ho|AL Madenci|ME Semel|JT McPhee|LL Nguyen|CK Ozaki",2014
15,"Z Jiang|P Yu|M Tao|C Ifantides|CK Ozaki|SA Berceli",2009
15,"Z Jiang|A Shukla|BL Miller|DR Espino|M Tao|SA Berceli|CK Ozaki",2007
13,"C Hine|HJ Kim|Y Zhu|E Harputlugil|A Longchamp|MS Matos",2017
